Thu Oct 26 21:24:15 CST 2023,(5 * (10 - 15)) + 7,7.0
Thu Oct 26 21:27:07 CST 2023,(5 * (10 - 15)) + 7,7.0
Thu Oct 26 21:27:32 CST 2023,(5 * (10 - 15)) + 7,7.0
Thu Oct 26 21:42:08 CST 2023, (5 * (10 - 15)) + 7.,7.0
Thu Oct 26 21:49:35 CST 2023,2000000+2,2000002.0
Thu Oct 26 21:49:42 CST 2023,2000000+26,2000026.0
Thu Oct 26 21:49:44 CST 2023,2000000+26000,2026000.0
Thu Oct 26 21:52:47 CST 2023,(5 * (10 - 15)) + 7 ,7.0
Thu Oct 26 21:52:52 CST 2023,(5 * (10 - 15)) + 7 ,7.0
Thu Oct 26 21:53:10 CST 2023,(5 * (10 - 15)) + 7 ,7.0
Thu Oct 26 22:24:19 CST 2023,(5 * (10 - 15)) + 7,7.0
Thu Oct 26 22:31:53 CST 2023,(5 * (10 - 15)) + 7,7.0
Thu Oct 26 22:48:14 CST 2023,1&1|0|0,1.0
Thu Oct 26 22:53:54 CST 2023,1&0|0|0,0.0
Thu Oct 26 22:53:54 CST 2023,1&0|0|0,0.0
Thu Oct 26 22:53:54 CST 2023,1&0|0|0,0.0
Thu Oct 26 22:53:54 CST 2023,1&0|0|0,0.0
Thu Oct 26 22:55:35 CST 2023,(5*(10-15))+7,-18.0
Thu Oct 26 22:56:31 CST 2023,1&0|0|0,0.0
Thu Oct 26 22:56:36 CST 2023,1&1|0|0,1.0
Thu Oct 26 23:01:40 CST 2023,1 & 1 | 1 | 1,1.0
Thu Oct 26 23:01:55 CST 2023,10%2,0.0
Thu Oct 26 23:02:19 CST 2023,9%2,1.0
Thu Oct 26 23:03:26 CST 2023,(9%2)-((10**2)-10)*(100+2),-1020.0
Thu Oct 26 23:10:01 CST 2023,10**2,0.0
Thu Oct 26 23:23:05 CST 2023,1&0|1,1.0
Thu Oct 26 23:23:07 CST 2023,1&0|1,1.0
Thu Oct 26 23:48:30 CST 2023,2**2,2.0
Thu Oct 26 23:48:31 CST 2023,2**2,2.0
Thu Oct 26 23:48:32 CST 2023,2**2,2.0
Thu Oct 26 23:48:32 CST 2023,2**2,2.0
Thu Oct 26 23:52:14 CST 2023,2**2,2.0
Thu Oct 26 23:52:15 CST 2023,2**2,2.0
Thu Oct 26 23:52:15 CST 2023,2**2,2.0
Thu Oct 26 23:52:15 CST 2023,2**2,2.0
Thu Oct 26 23:52:15 CST 2023,2**2,2.0
Thu Oct 26 23:54:07 CST 2023,2**2,2.0
Thu Oct 26 23:59:46 CST 2023,2**2,2.0
Thu Oct 26 23:59:46 CST 2023,2**2,2.0
Thu Oct 26 23:59:47 CST 2023,2**2,2.0
Thu Oct 26 23:59:59 CST 2023,2**3,3.0
Fri Oct 27 00:00:04 CST 2023,2**4,4.0
Fri Oct 27 00:02:34 CST 2023,2**4,4.0
Fri Oct 27 00:05:56 CST 2023,2**4,4.0
Fri Oct 27 00:08:02 CST 2023,2**4,4.0
Fri Oct 27 00:08:03 CST 2023,2**4,4.0
Fri Oct 27 00:22:17 CST 2023,2**4,4.0
Fri Oct 27 00:24:46 CST 2023,2**4,4.0
Fri Oct 27 00:25:21 CST 2023,(2**4)+2-1,5.0
Fri Oct 27 00:30:34 CST 2023,(2**4)+2-1,5.0
Fri Oct 27 00:32:31 CST 2023,(2**4)+2-1,5.0
Fri Oct 27 00:37:24 CST 2023,(2**4)+2-1,17.0
Fri Oct 27 00:39:16 CST 2023,((2**4+1)-1)*7,112.0
Fri Oct 27 23:22:00 CST 2023,1~,0.0
Fri Oct 27 23:22:04 CST 2023,0~,1.0
Fri Oct 27 23:23:04 CST 2023,2**2,4.0
Fri Oct 27 23:23:07 CST 2023,2**3,8.0
Fri Oct 27 23:23:27 CST 2023, (5 * (10 - 15)) + 7,7.0
Fri Oct 27 23:25:44 CST 2023, (5 * (10 - 15)) + 7,-18.0
Fri Oct 27 23:26:00 CST 2023,(5 * 7) + (12/6),37.0
Fri Oct 27 23:27:07 CST 2023, 5 * 3 / 8 + (95 % 5 - 10),-8.125
Fri Oct 27 23:31:25 CST 2023,(1^0)&(1|0),1.0
Fri Oct 27 23:31:40 CST 2023,(1^0)&(1|0)~,0.0
Fri Oct 27 23:31:43 CST 2023,(1^0)&(1|0)~~,1.0
Fri Oct 27 23:31:45 CST 2023,(1^0)&(1|0)~~~,0.0
Fri Oct 27 23:31:46 CST 2023,(1^0)&(1|0)~~~~,1.0
Fri Oct 27 23:31:51 CST 2023,(1^0)&(1|0)~,0.0
Fri Oct 27 23:34:33 CST 2023,4+3*2,10.0
Fri Oct 27 23:34:41 CST 2023,5+10,15.0
Fri Oct 27 23:34:51 CST 2023,8-2*3+4,6.0
Fri Oct 27 23:35:13 CST 2023,100%9+7*2,15.0
Fri Oct 27 23:35:39 CST 2023,4*3+10/2,17.0
Fri Oct 27 23:35:47 CST 2023,10**5,100000.0
Fri Oct 27 23:40:04 CST 2023,(((10*2+2**5)+5)/4),14.25
Fri Oct 27 23:40:28 CST 2023,(((10*2+5**2)+5)/4),12.5
Fri Oct 27 23:40:29 CST 2023,(((10*2+5**2)+5)/4),12.5
Fri Oct 27 23:40:29 CST 2023,(((10*2+5**2)+5)/4),12.5
Fri Oct 27 23:40:30 CST 2023,(((10*2+5**2)+5)/4),12.5
Fri Oct 27 23:40:31 CST 2023,(((10*2+5**2)+5)/4),12.5
Sat Oct 28 00:40:37 CST 2023,1-2,-1.0
